nombre,subj,col_1,col_2,anos
socorroirmaandazolagomez,trayectoriapolitica,Coordinadora de Organizacion,MORENA,2017-A la fecha
socorroirmaandazolagomez,administracionpublicalocal,"Ministerio Publico, Juzgado Segundo de lo Penal",Procuraduria General de Justicia del Estado de Baja California,
marioismaelmorenogil,escolaridad,Carrera Trunca,Arquitectura,1970-1972
marioismaelmorenogil,trayectoriapolitica,Secretario de Prensa,PRD,1994-1995
marioismaelmorenogil,trayectoriapolitica,Secretario de Arte y Cultura,MORENA,2012-2014
marioismaelmorenogil,iniciativaprivada,Productor,MG & SUAMCA Publicidad,1978-2012
marioismaelmorenogil,asociacionesalasquepertenece,Locutor y Productor,STIRT,1975-2016
marioismaelmorenogil,actividadesdocentes,Docente,Taller: Artes Plasticas,1978-1987
javierjuliancastanedapomposo,escolaridad,Licenciatura,Psicologia,1986-1990
javierjuliancastanedapomposo,escolaridad,Diplomado,Especialidad en administracion de recursos humanos,1990
javierjuliancastanedapomposo,escolaridad,Diplomado,Especialidad en desarrollo local,2002
erikisaacmoraleselvira,trayectoriapolitica,Secretario del Deporte en el Comite Municipal de Baja California,PRI,Del 12 de noviembre de 2013 al 30 de julio de 2016
erikisaacmoraleselvira,administracionpublicalocal,Director,"Instituto Municipal del Deporte en Tijuana, Baja California",Del 1 de diciembre de 2007 al 30 de julio de 2009
erikisaacmoraleselvira,iniciativaprivada,Multicampeon mundial,,1993
erikisaacmoraleselvira,iniciativaprivada,Campeon Nacional de los Supergallo,,1995
erikisaacmoraleselvira,iniciativaprivada,Boxeador Profesional,"Top Rank, Las Vegas, Nevada",1995-2007
erikisaacmoraleselvira,iniciativaprivada,Campeon de los Supergallo,,1997
erikisaacmoraleselvira,iniciativaprivada,Campeon de peso supergallo de la Organizacion Mundial de Boxeo (OMB).,,1998
erikisaacmoraleselvira,iniciativaprivada,Campeon Pluma Interino del CMB.,,2000
erikisaacmoraleselvira,iniciativaprivada,Promotor de Boxeo,,2002-2014
erikisaacmoraleselvira,iniciativaprivada,Campeon interino de Superligero del CMB.,,2004
erikisaacmoraleselvira,iniciativaprivada,Boxeador Profesional,"Golden Boy Promotions, Los Angeles, California",2011-2012
erikisaacmoraleselvira,iniciativaprivada,Entrenador de Boxeo,,2013-2016
erikisaacmoraleselvira,iniciativaprivada,Miembro del Salon de la Fama de Las Vegas.,,2017
erikisaacmoraleselvira,asociacionesalasquepertenece,Miembro,Consejo Mundial de Boxeo,2014
hectorrenecruzaparicio,escolaridad,Maestria,Gestion y Politicas Publicas,2018 a la fecha
hectorrenecruzaparicio,escolaridad,Posgrado,Derecho Penal,2014
hectorrenecruzaparicio,escolaridad,Licenciatura,Derecho,2001-2006
hectorrenecruzaparicio,trayectoriapolitica,"Presidente del Comite Municipal de Tijuana, Baja California",Encuentro Social,actualmente
hectorrenecruzaparicio,administracionpublicalocal,Asesor de Seguridad Publica,"Ayuntamiento de Tijuana, Baja California",2005-2008
hectorrenecruzaparicio,administracionpublicalocal,Jefe de Programacion COPLADEM,"Ayuntamiento de Playas de Rosarito, Baja California",2008-2009
hectorrenecruzaparicio,administracionpublicalocal,Director de la Juventud,"Ayuntamiento de Tijuana, Baja California",2010-2011
hectorrenecruzaparicio,administracionpublicalocal,Delegado Municipal,"Ayuntamiento de Tijuana, Baja California",2011-2012
hectorrenecruzaparicio,administracionpublicalocal,Director de Desarrollo Social,"Ayuntamiento de Tijuana, Baja California",2012-2013
hectorrenecruzaparicio,iniciativaprivada,Socio Fundador,Estrategias Legales S.C.,2017
hectorrenecruzaparicio,asociacionesalasquepertenece,Tesorero,BC-Avanza,2014 a la fecha
alfredoporrasdominguez,escolaridad,Licenciatura,Ciencias Politicas y Administracion Publica,1976-1980
alfredoporrasdominguez,trayectoriapolitica,"Presidente del CDM en la Paz, Baja California Sur",PRI,1993-1996
alfredoporrasdominguez,trayectoriapolitica,Comisionado Politico Nacional en Baja California Sur,PT,2017
alfredoporrasdominguez,cargosdeeleccionpopular,"Presidente Municipal, Baja California Sur - La Paz",PRD-PT,1999-2002
alfredoporrasdominguez,administracionpublicalocal,Director General,Colegio de Bachilleres del estado de Baja California Sur,2005-2010
alfredoporrasdominguez,administracionpublicalocal,Secretario General,Gobierno del estado de Baja California Sur,2010-2011
carlosenriquemartinezake,escolaridad,Pasante,Derecho,1996-2001
carlosenriquemartinezake,convergencia,Secretario de Elecciones en Campeche,Movimiemto Ciudadano,2010-2012
carlosenriquemartinezake,convergencia,Presidente del Comite Municipal de Campeche,MORENA,2013-2015
carlosenriquemartinezake,convergencia,Representante ante el Organismo Publico Local Electoral,MORENA,2014-2015
carlosenriquemartinezake,experiencialegislativa,"Diputada(o) Local Propietario, MORENA",LXII Legislatura,2015-2018
irasemadelcarmenbuenfildiaz,escolaridad,Licenciatura,Orientacion y Psicologia del Adolescente,No proporciono
erikavanessadelcastilloibarra,escolaridad,Licenciatura,Sociologia,No proporciono
erikavanessadelcastilloibarra,trayectoriapolitica,Consejera del Distrito 6,MORENA,2012-2015
erikavanessadelcastilloibarra,trayectoriapolitica,Consejera del Distrito 1,MORENA,2015-2018
armandogonzalezescoto,escolaridad,Licenciatura,Quimico Industrial,1989-1994
armandogonzalezescoto,trayectoriapolitica,Delegado Propietario Asamblea Constituyente,PES,2013
armandogonzalezescoto,trayectoriapolitica,Coordinador de Organizacion y Elecciones Circuncripcionales,PES,2014-2017
armandogonzalezescoto,trayectoriapolitica,Presidente del CDE Ciudad de Mexico,PES,2017 a la fecha
armandogonzalezescoto,administracionpublicafederal,Subdirector de Evaluacion,Instituto para la Proteccion al Ahorro Bancario,2002-2005
armandogonzalezescoto,administracionpublicafederal,Director de Profesionalizacion y Desarrollo de Capital Huamano,Secretaria de Medio Ambiente y Recursos Naturales,2007
armandogonzalezescoto,administracionpublicalocal,Jefe de la Unidad Departamental de Desarrollo Social,Delegacion Gustavo A. Madero,1996-1997
armandogonzalezescoto,administracionpublicalocal,Secretario Particular de la Direccion General de Gobierno,Gobierno del Distrito Federal,2012-2013
miguelangeljaureguimontesdeoca,escolaridad,Licenciatura,Ciencias Politicas,
miguelangeljaureguimontesdeoca,trayectoriapolitica,Coordinador zonal de Brigadas en campana del Ing. Cuauhtemoc Cardenas para Jefe de Gobierno del Distrito Federal,GDF,1997
miguelangeljaureguimontesdeoca,trayectoriapolitica,Promotor de Participacion Ciudadana del Gobierno del Distrito Federal,GDF,1997-2000
miguelangeljaureguimontesdeoca,trayectoriapolitica,Representante de la Direccion General de Participacion Ciudadana ante la Coordinacion Territorial de Seguridad Publica,GDF,2000-2005
gerardofernandeznorona,escolaridad,Licenciatura,Sociologia,1977 - 1983
gerardofernandeznorona,trayectoriapolitica,Diputado Federal,PT,2009 - 2012
claudialopezrayon,escolaridad,Carrera Tecnica,Tecnico en Informatica,1989-1992
claudialopezrayon,administracionpublicafederal,Personal de Apoyo al grupo parlamentario del PRD,Camara de Diputados,2011-2012
claudialopezrayon,administracionpublicalocal,Administrativo,Delegacion Tlalpan,1998
sergiomayerbreton,escolaridad,Licenciatura,Administracion de Empresas,1985-1989
sergiomayerbreton,trayectoriapolitica,Presentacion de la Plataforma y Equipo de Campana de Claudia Sheinbaum candidata a la Gubernatura de la CDMX,Morena,2017
beatrizrojasmartinez,escolaridad,Licenciatura,Derecho,2009-2012
mariarosete,escolaridad,Licenciatura,Derecho,No proporciono
adrianamariaguadalupeespinosadelosmonterosgarcia,escolaridad,Posgrado,Alta Direccion,2009-2011
adrianamariaguadalupeespinosadelosmonterosgarcia,escolaridad,Licenciatura,Derecho,1993-1997
adrianamariaguadalupeespinosadelosmonterosgarcia,trayectoriapolitica,Congresista Nacional,Izquierda,2001
adrianamariaguadalupeespinosadelosmonterosgarcia,trayectoriapolitica,Representante Federal,Izquierda,2005-2006
adrianamariaguadalupeespinosadelosmonterosgarcia,trayectoriapolitica,Secretaria de Formacion Politica,Izquierda,2009-2012
adrianamariaguadalupeespinosadelosmonterosgarcia,trayectoriapolitica,Consejera Estatal,Izquierda,2012-2015
adrianamariaguadalupeespinosadelosmonterosgarcia,trayectoriapolitica,Comision MORENA,MORENA,2016-2017
adrianamariaguadalupeespinosadelosmonterosgarcia,administracionpublicalocal,Lider coordinador de proyectos,Instituto de las Mujeres del D.F.,2001-2003
adrianamariaguadalupeespinosadelosmonterosgarcia,administracionpublicalocal,Lider coordinador de proyectos,Instituto Electoral del D.F.,2007-2008
adrianamariaguadalupeespinosadelosmonterosgarcia,administracionpublicalocal,Subdirectora Juridica,Delegacion Tlahuac,2012-2014
adrianamariaguadalupeespinosadelosmonterosgarcia,asociacionesalasquepertenece,Presidenta,Unidos por el Bienestar Social A.C.,2007-2017
javierarielhidalgoponce,escolaridad,Licenciatura,Arquitectura,1985
javierarielhidalgoponce,escolaridad,Diplomado,Comunicacion Politica,2001
javierarielhidalgoponce,trayectoriapolitica,Consejero Nacional,PRD,1989-2007
javierarielhidalgoponce,trayectoriapolitica,Secretario del CEN,PRD,1993
javierarielhidalgoponce,trayectoriapolitica,Secretario del CE DF,PRD,1995-1997
javierarielhidalgoponce,trayectoriapolitica,Presidente Consejo Nacional,PRD,1999-2002
javierarielhidalgoponce,trayectoriapolitica,Vocero,PRD,2002 - 2004
javierarielhidalgoponce,trayectoriapolitica,Secretario del CEN,PRD,2002-2005
javierarielhidalgoponce,trayectoriapolitica,Consejero Dto. X CDMX,MORENA,2012-2015
javierarielhidalgoponce,experiencialegislativa,"Asambleista Propietario, PRD",I Legislatura,1991 - 1994
javierarielhidalgoponce,experiencialegislativa,"Asambleista Propietario, PRD",II Legislatura,1997-2000
javierarielhidalgoponce,administracionpublicalocal,Director General,Iinstituto de la Juventud - DF,2006-2012
javierarielhidalgoponce,administracionpublicalocal,Asesor Honorario en Movilidad del Jefe Delegacional,Delegacion Miguel Hidalgo - CDMX,2012 - 2015
javierarielhidalgoponce,administracionpublicalocal,Director Gestion Ambiental,Del. Cuauhtemoc - CDMX,2015-2017
javierarielhidalgoponce,iniciativaprivada,Director,Despacho Arquitecto,"1984, 1995-1997"
javierarielhidalgoponce,asociacionesalasquepertenece,,Asociaciones DRO,2000-2018
rociobarrerabadillo,escolaridad,Licenciatura,Ciencias Politicas y Administracion Publica,1995-1998
rociobarrerabadillo,escolaridad,Licenciatura,Derecho,2009-2012
rociobarrerabadillo,cargosdeeleccionpopular,"Jefe(a) Delegacional, Distrito Federal - Venustiano Carranza",No proporciono,2006
rociobarrerabadillo,administracionpublicalocal,Directora General de Desarrollo Delegacional,Delegacion Venustiano Carranza,2003-2005
rociobarrerabadillo,administracionpublicalocal,Directora General Juridica y de Gobierno,Delegacion Venustiano Carranza,2005-2006
rociobarrerabadillo,administracionpublicalocal,Directora General de Regulacion al Transporte,Secretaria de Movilidad,2012-2014
rociobarrerabadillo,asociacionesalasquepertenece,No proporciono,Impulsa A.C.,2009
rociobarrerabadillo,asociacionesalasquepertenece,Investigadora,Centro de Analisis e Investigacion Multidisciplinario del STUNAM,2018
dolorespadiernaluna,escolaridad,Licenciatura,Economia,
mariodelgadocarrillo,escolaridad,Maestria,Economia,1996-1997
mariodelgadocarrillo,escolaridad,Licenciatura,Economia,1991-1995
mariodelgadocarrillo,escolaridad,Diplomado,Econometria Avanzada,1995-1996
mariodelgadocarrillo,experiencialegislativa,"Senador(a) de la Republica Propietario,",LXII - LXIII Legislatura,2012-2018
mariodelgadocarrillo,administracionpublicalocal,Director Ejecutivo de Informatica y Estadistica,Secretaria de Seguridad Publica del Distrito Federal,2002-2003
mariodelgadocarrillo,administracionpublicalocal,Secretario,Secrataria de Finanzas del Distrito Federal,2006-2010
mariodelgadocarrillo,administracionpublicalocal,Secretario,Secretaria de Educacion del Distrito Federal,2010-2012
mariodelgadocarrillo,cargosenlegislaturaslocalesofederales,"Secretario Tecnico de la Comision de Presupuesto y Cuenta Publica, Camara de Diputados",LII Legislatura,
luisalbertomendozaacevedo,escolaridad,Licenciatura,Administracion Publica,Actualmente en curso
luisalbertomendozaacevedo,trayectoriapolitica,Integrante del CDR en BJ,PAN,2008-2011
luisalbertomendozaacevedo,trayectoriapolitica,Consejero de la CDMX,PAN,2010-2016
luisalbertomendozaacevedo,trayectoriapolitica,Presidente del CDR en BJ,PAN,2011-2014
luisalbertomendozaacevedo,trayectoriapolitica,Integrante de la Comision Permanente del CDR,PAN,2015-2018
luisalbertomendozaacevedo,trayectoriapolitica,Consejero Nacional,PAN,2017-2019
silvialorenavillavicencioayala,trayectoriapolitica,Representante ante el IFE,PRD,1999-2002
silvialorenavillavicencioayala,experiencialegislativa,"Asambleista Propietario, PRD",III Legislatura,2003-206
silvialorenavillavicencioayala,experiencialegislativa,"Senador(a) de la Republica Suplente,",LXI Legislatura,
silvialorenavillavicencioayala,asociacionesalasquepertenece,Fundadora,Mujeres de Hierro A.C.,2017-218
franciscojaviersaldivarcamacho,escolaridad,Carrera Trunca,Administracion de Empresas,2010-2012
franciscojaviersaldivarcamacho,escolaridad,Diplomado,Planeacion y Estrategica de Administraccion Publica,2011
franciscojaviersaldivarcamacho,trayectoriapolitica,Presidente Fundacion Colosio en Cuajimalpa,PRI,2006-2007
franciscojaviersaldivarcamacho,trayectoriapolitica,Secretario General,PRI,2007-2008
franciscojaviersaldivarcamacho,trayectoriapolitica,Coordinador de Campana para Jefatura Delegacional,PAN,2009
franciscojaviersaldivarcamacho,administracionpublicafederal,Soporte Administrativo,ISSSTE,2014-2015
franciscojaviersaldivarcamacho,administracionpublicalocal,Subdirector de Imagen Urbana,Delegacion Cuajimalpa,2012
franciscojaviersaldivarcamacho,administracionpublicalocal,Jefe de Unidad Departamental de Sistemas y Programas,Delegacion Cuajimalpa,2012-2013
franciscojaviersaldivarcamacho,administracionpublicalocal,Enlace Juridico de Via Publica,Delegacion Miguel Hidalgo,2016-2018
franciscojaviersaldivarcamacho,iniciativaprivada,Gerente de Flotillas,Grupo Auto Fin,1998-2009
anamariarodriguezruiz,escolaridad,Diplomado,Derechos humanos y procesos sociales,2011-2012
anamariarodriguezruiz,escolaridad,Bachillerato,Nivel Medio Superior,
anamariarodriguezruiz,trayectoriapolitica,Coordinadora de promocion en Iztapapala,PRD,1991-2011
anamariarodriguezruiz,trayectoriapolitica,Enlace de promocion para la fundacion del movimiento de regeneracion nacional,Morena,2013-2014
anamariarodriguezruiz,trayectoriapolitica,Responsable de organizacion Morena en Oaxaca y Coahuila,Morena,2015-2018
anamariarodriguezruiz,experiencialegislativa,"Diputada(o) Local Suplente, Morena",VI Legislatura,2012-2015
aleidaalavezruiz,escolaridad,Licenciatura,Ciencias de la Comunicacion,2001-2004
aleidaalavezruiz,trayectoriapolitica,Consejera Estatal en el Distrito Federal,PRD,1995-2015
anakarinarojopimentel,escolaridad,Licenciatura,Educador Fisico,1999 - 2000
anakarinarojopimentel,trayectoriapolitica,Coordinadora de estructura,PRI,2005 - 2006
anakarinarojopimentel,trayectoriapolitica,Trabajo Social,PRD,2007 - 2009
anakarinarojopimentel,trayectoriapolitica,Comision Ejecutiva nacional y estatal,PT,2017 - 2018
anakarinarojopimentel,administracionpublicalocal,Secretaria,Camara de Diputados,
anakarinarojopimentel,iniciativaprivada,Lider,AVON,2012 - 2016
florivonemoralesmiranda,escolaridad,Maestria,Administracion Publica,2018 cursando actualmente
florivonemoralesmiranda,escolaridad,Licenciatura,Sociologia,2014
florivonemoralesmiranda,trayectoriapolitica,Consejera Estatal de la Ciudad de Mexico,MORENA,2015-2018
guadaluperamossotelo,escolaridad,Carrera Tecnica,Dental,No proporciono
evaristoleninperezrivera,escolaridad,Maestria,Marketing Politico,2003
evaristoleninperezrivera,escolaridad,Licenciatura,Derecho,
evaristoleninperezrivera,trayectoriapolitica,Presidente,Unidad Democratica de Coahuila,2003-2007
evaristoleninperezrivera,cargosdeeleccionpopular,Presidente Municipal,"Acuna, Coahuila",2006-2009
evaristoleninperezrivera,cargosdeeleccionpopular,Presidente Municipal,"Acuna, Coahuila",2014-2017
evaristoleninperezrivera,experiencialegislativa,"Diputada(o) Local Propietario, UDC",LVI Legislatura,2003-2005
evaristoleninperezrivera,experiencialegislativa,"Diputada(o) Local Propietario,",LIX Legislatura,2012-2014
evaristoleninperezrivera,administracionpublicafederal,Actuario de la JFCA# 25,Secretaria del Trabajo y Prevision Social,1988-1991
evaristoleninperezrivera,administracionpublicafederal,Proteccion Consular,Secretaria de Relaciones Exteriores,1993-1995
evaristoleninperezrivera,asociacionesalasquepertenece,Notario Publico N°9,No proporciono,2001
evaristoleninperezrivera,actividadesdocentes,Docente,Asignatura: Derecho Internacional,2001-2003
franciscojavierborregoadame,escolaridad,Carrera Comercial,Auxiliar Contable,1969 - 1971
franciscojavierborregoadame,iniciativaprivada,Director General,Autotransportes Grupo JB,1970 a la fecha
franciscojavierborregoadame,iniciativaprivada,Presidente Nacional de la Cartera Vencida,Transportistas Mexicanos,1995-1996
franciscojavierborregoadame,iniciativaprivada,Presidente,Comision Nacional de Regulacion del Transporte,2007 - 2008
franciscojavierborregoadame,iniciativaprivada,Vicepresidente de Cargas y Pasajes,Zona Norte,2012 - 2014
franciscojavierborregoadame,asociacionesalasquepertenece,Coordinador Nacional del Transporte de CONATRAM,Confederacion Nacional de Transportistas Mexicanos A.C.,1995 - a la fecha
melbaneliafariaszambrano,escolaridad,Licenciatura,Quimico Farmaceutico Biologo,1981 - 1985
melbaneliafariaszambrano,trayectoriapolitica,Presidenta de la UCA (Union de Comerciantes Ambulantes de Coahuila),,2007 - 2018
melbaneliafariaszambrano,trayectoriapolitica,Presidenta de la CNOP (Confederacion Nacional de Organismos Populares),,2012 - 2014
melbaneliafariaszambrano,trayectoriapolitica,Presidenta del ONMPRI (Organismo Nacional de Mujeres Priistas),,2014 - 2016
melbaneliafariaszambrano,administracionpublicalocal,Coordinacion de campanas de zonas de periferia vacunacion contra el colera,,No porporciono
marthahortenciagaraycadena,escolaridad,Carrera Comercial,Comercio en Ingles,1970-1973
marthahortenciagaraycadena,trayectoriapolitica,Presidenta del ONMPRI Saltillo,PRI,2014-2018
marthahortenciagaraycadena,trayectoriapolitica,Coordinadora Voluntariado CDE Coahuila,PRI,2015 a la fecha
marthahortenciagaraycadena,experiencialegislativa,"Diputada(o) Local Propietario, PRI",LX Legislatura,2015-2017
marthahortenciagaraycadena,administracionpublicalocal,Directora de Relaciones Publicas,"Presidencia municipal de Saltillo, Coahuila",2000-2002
marthahortenciagaraycadena,iniciativaprivada,Directora,Banco de Alimentos de Saltillo,2002-2014
marthahortenciagaraycadena,asociacionesalasquepertenece,"Tesorera, Vocal de Consejo, Administradora e Integrante",SNTE Seccion 38,1974 a la fecha
marthahortenciagaraycadena,asociacionesalasquepertenece,Miembro del Consejo Tecnico Nacional,Bancos de Alimentos,No proporciono
luisfernandosalazarfernandez,escolaridad,Maestria,Gobernanza y Comunicacion Politica,2014-2016
luisfernandosalazarfernandez,escolaridad,Licenciatura,Derecho,No proporciono
luisfernandosalazarfernandez,trayectoriapolitica,Consejero Estatal,PAN,2007-2013
luisfernandosalazarfernandez,trayectoriapolitica,Consejero Nacional,PAN,2014-2017
luisfernandosalazarfernandez,trayectoriapolitica,Consejero Nacional,PAN,2017-2019
luisfernandosalazarfernandez,experiencialegislativa,"Diputada(o) Local Propietario, PAN",LVI Legislatura,2003-2005
luisfernandosalazarfernandez,experiencialegislativa,"Senador(a) de la Republica Propietario, PAN",LXII Legislatura,2012-2018
luisfernandosalazarfernandez,administracionpublicafederal,Delegado Federal,Secretaria de Desarrollo Social,2008-2011
luisfernandosalazarfernandez,cargosenlegislaturaslocalesofederales,"Coordinador de Asesores de la Presidencia de la Mesa Directiva, Camara de Diputados",LX Legislatura,
joseangelperezhernandez,escolaridad,Licenciatura,Administracion de Empresas,
fernandodonatodelasfuenteshernandez,escolaridad,Maestria,Gobierno y Fiscalizacion Publica,2018 - 2019
fernandodonatodelasfuenteshernandez,escolaridad,Licenciatura,Derecho,1981-1986
fernandodonatodelasfuenteshernandez,escolaridad,Diplomado,Finanzas,1990
fernandodonatodelasfuenteshernandez,escolaridad,Diplomado,Politicas de Seguridad Nacional y de Seguridad Publica,2019
fernandodonatodelasfuenteshernandez,trayectoriapolitica,"Presidente del Comite Municipal de Saltillo, Coahuila",PRI,2000
fernandodonatodelasfuenteshernandez,trayectoriapolitica,Secretario General del Comite Directivo Estatal,PRI,2000-2003
fernandodonatodelasfuenteshernandez,trayectoriapolitica,Secretario de Organizacion del Comite Ejecutivo Nacional de la CNOP,PRI,2013-2015
fernandodonatodelasfuenteshernandez,trayectoriapolitica,Consejero Politico Nacional,PRI,2015
claudiavaleriayanezcentenoycabrera,escolaridad,Otro,Psicologia Genetica,1986
claudiavaleriayanezcentenoycabrera,escolaridad,Otro,Autoestima,2002
claudiavaleriayanezcentenoycabrera,escolaridad,Otro,Pareja y Logoterapia,2003
claudiavaleriayanezcentenoycabrera,escolaridad,Posgrado,Logoterapia,2010
claudiavaleriayanezcentenoycabrera,escolaridad,Licenciatura,Psicologia Social,1979 - 1984
claudiavaleriayanezcentenoycabrera,trayectoriapolitica,Enlace Estatal,MORENA,2017 - 2018
claudiavaleriayanezcentenoycabrera,administracionpublicafederal,Colaboradora del Departamento de Padres,Secretaria de Educacion Publica,No proporciono informacion
indiravizcainosilva,escolaridad,Maestria,Derecho,2015-2017
indiravizcainosilva,escolaridad,Licenciatura,Derecho,2005-2010
indiravizcainosilva,trayectoriapolitica,Presidenta de Jovenes del PRD,PRD,2007
indiravizcainosilva,trayectoriapolitica,Consejera Nacional del PRD,PRD,2009 - 2012
indiravizcainosilva,trayectoriapolitica,Consejera Estatal,PRD,2009 - 2015
