CURP,Nombre,TipoLegislacion,Partido_x,FechaNacimiento_x,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura,inic_edo,nom_edo,tipo_elec,FechaNacimiento_y,edo,ent,Partido_y,N°,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
GCI,Isaias Gonzalez Cuevas,Diputado Propietario,PRI,06/07/1940, México ,Representación Proporcional, Baja California Sur Circunscripción: Primera ,Secundaria,,LXIV,29/08/2018,31/08/2021,igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Representacion proporcional,06/07/1940,Baja California Sur,Circunscripcion:1,,,,,,,
ACMA,Marco Antonio Adame Castillo,Diputado Propietario,PAN,06/12/1960, Morelos ,Representación Proporcional, N/A ,Maestría,Administración y contaduría,LVII,22/08/1997,31/08/2000,maac_morelos,marcoantonioadamecastillo_morelos,Representacion proporcional,06/12/1960,Morelos,Circunscripcion:4,,,,,,,
ACMA,Marco Antonio Adame Castillo,Senador Propietario,PAN,06/12/1960, Morelos ,Mayoría Relativa, Morelos ,Maestría,Ciencias de la salud,LVIII,28/08/2000,31/08/2003,maac_morelos,marcoantonioadamecastillo_morelos,Representacion proporcional,06/12/1960,Morelos,Circunscripcion:4,,,,,,,
ACMA,Marco Antonio Adame Castillo,Diputado Propietario,PAN,06/12/1960, Morelos ,Representación Proporcional, Morelos Circunscripción: Cuarta ,Maestría,Administración y contaduría,LXIV,29/08/2018,31/08/2021,maac_morelos,marcoantonioadamecastillo_morelos,Representacion proporcional,06/12/1960,Morelos,Circunscripcion:4,,,,,,,
GÁP,Pablo Gomez Alvarez,Diputado Propietario,PRD,21/10/1946, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 23 (Coyoacán) ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000,pga_ciudad de mexico,pablogomezalvarez_ciudad de mexico,Mayoria Relativa,21/10/1946,Ciudad de Mexico,Distrito:23,,378,MORENA,Ciudad de México,Distrito 23,Mayoría relativa,SI
GÁP,Pablo Gomez Alvarez,Diputado Propietario,PRD,21/10/1946, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 23 (Coyoacán) ,,,LIX,29/08/2003,31/08/2006,pga_ciudad de mexico,pablogomezalvarez_ciudad de mexico,Mayoria Relativa,21/10/1946,Ciudad de Mexico,Distrito:23,,378,MORENA,Ciudad de México,Distrito 23,Mayoría relativa,SI
GÁP,Pablo Gomez Alvarez,Senador Propietario,PRD,21/10/1946, Distrito Federal ,Mayoría Relativa, Distrito Federal ,Licenciatura,Económico-financiera,LX,28/08/2006,01/09/2009,pga_ciudad de mexico,pablogomezalvarez_ciudad de mexico,Mayoria Relativa,21/10/1946,Ciudad de Mexico,Distrito:23,,378,MORENA,Ciudad de México,Distrito 23,Mayoría relativa,SI
GÁP,Pablo Gomez Alvarez,Senador Propietario,PRD,21/10/1946, Distrito Federal ,Mayoría Relativa, Distrito Federal ,Licenciatura,Económico-financiera,LXI,29/08/2009,31/08/2012,pga_ciudad de mexico,pablogomezalvarez_ciudad de mexico,Mayoria Relativa,21/10/1946,Ciudad de Mexico,Distrito:23,,378,MORENA,Ciudad de México,Distrito 23,Mayoría relativa,SI
GÁP,Pablo Gomez Alvarez,Diputado Propietario,Morena,21/10/1946, Distrito Federal ,Mayoría Relativa, Ciudad de México Distrito: 23 (Coyoacán) ,Licenciatura,Económico-financiera,LXIV,29/08/2018,31/08/2021,pga_ciudad de mexico,pablogomezalvarez_ciudad de mexico,Mayoria Relativa,21/10/1946,Ciudad de Mexico,Distrito:23,,378,MORENA,Ciudad de México,Distrito 23,Mayoría relativa,SI
GCTM,Teofilo Manuel Garcia Corpus,Diputado Propietario,PRI,06/02/1958, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 9 (Zimatlán de Álvarez) ,Licenciatura,Ingeniería,LVII,22/08/1997,31/08/2000,tmgc_oaxaca,teofilomanuelgarciacorpus_oaxaca,Representacion proporcional,06/02/1958,Oaxaca,Circunscripcion:3,,428,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
GCTM,Teofilo Manuel Garcia Corpus,Diputado Propietario,PRI,06/02/1958, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 9 (Zimatlán de Álvarez) ,Maestría,Derecho,LIX,29/08/2003,31/08/2006,tmgc_oaxaca,teofilomanuelgarciacorpus_oaxaca,Representacion proporcional,06/02/1958,Oaxaca,Circunscripcion:3,,428,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
GCTM,Teofilo Manuel Garcia Corpus,Diputado Propietario,PRI,06/02/1958, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 9 (Santa Lucía del Camino) ,Licenciatura,Agropecuaria y zootecnia,LXI,29/08/2009,31/08/2012,tmgc_oaxaca,teofilomanuelgarciacorpus_oaxaca,Representacion proporcional,06/02/1958,Oaxaca,Circunscripcion:3,,428,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
GCTM,Teofilo Manuel Garcia Corpus,Diputado Propietario,Morena,06/02/1958, Oaxaca ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021,tmgc_oaxaca,teofilomanuelgarciacorpus_oaxaca,Representacion proporcional,06/02/1958,Oaxaca,Circunscripcion:3,,428,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
EVA,Arturo Escobar y Vega,Diputado Propietario,PVEM,23/04/1970, Distrito Federal ,Representación Proporcional, Yucatán Circunscripción: Tercera ,Maestría,Derecho,LVIII,28/08/2000,31/08/2003,aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Representacion proporcional,23/04/1970,Ciudad de Mexico,Circunscripcion:4,,45,PVEM,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
EVA,Arturo Escobar y Vega,Senador Propietario,PVEM,23/04/1970, Distrito Federal ,Representación Proporcional, Distrito Federal ,Maestría,Derecho,LX,28/08/2006,01/09/2009,aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Representacion proporcional,23/04/1970,Ciudad de Mexico,Circunscripcion:4,,45,PVEM,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
EVA,Arturo Escobar y Vega,Senador Propietario,PVEM,23/04/1970, Distrito Federal ,Representación Proporcional, Distrito Federal ,Maestría,Derecho,LXI,29/08/2009,31/08/2012,aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Representacion proporcional,23/04/1970,Ciudad de Mexico,Circunscripcion:4,,45,PVEM,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
EVA,Arturo Escobar y Vega,Diputado Propietario,PVEM,23/04/1970, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,,,LXII,29/08/2012,31/08/2015,aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Representacion proporcional,23/04/1970,Ciudad de Mexico,Circunscripcion:4,,45,PVEM,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
EVA,Arturo Escobar y Vega,Diputado Propietario,PVEM,23/04/1970, Distrito Federal ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021,aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Representacion proporcional,23/04/1970,Ciudad de Mexico,Circunscripcion:4,,45,PVEM,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
SRDM,Dulce Maria Sauri Riancho,Senadora Propietario,PRI,14/08/1951, Yucatán ,Representación Proporcional, Yucatán ,Licenciatura,Ciencias políticas y sociales,LVIII,28/08/2000,31/08/2003,dmsr_yucatan,dulcemariasauririancho_yucatan,Representacion proporcional,14/08/1951,Yucatan,Circunscripcion:3,,,,,,,
SRDM,Dulce Maria Sauri Riancho,Senadora Propietario,PRI,14/08/1951, Yucatán ,Representación Proporcional, Yucatán ,Licenciatura,Ciencias políticas y sociales,LIX,29/08/2003,31/08/2006,dmsr_yucatan,dulcemariasauririancho_yucatan,Representacion proporcional,14/08/1951,Yucatan,Circunscripcion:3,,,,,,,
SRDM,Dulce Maria Sauri Riancho,Diputada Propietario,PRI,14/08/1951, Yucatán ,Representación Proporcional, Yucatán Circunscripción: Tercera ,Doctorado,Humanidades,LXIV,29/08/2018,31/08/2021,dmsr_yucatan,dulcemariasauririancho_yucatan,Representacion proporcional,14/08/1951,Yucatan,Circunscripcion:3,,,,,,,
CBG,Gabriela Cuevas Barron,Diputada Suplente,PAN,03/04/1979, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Licenciatura,Ciencias políticas y sociales,LVIII,28/08/2000,31/08/2003,gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Representacion proporcional,03/04/1979,Ciudad de Mexico,Circunscripcion:4,,,,,,,
CBG,Gabriela Cuevas Barron,Diputada Propietario,PAN,03/04/1979, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 10 (Miguel Hidalgo) ,Pasante/Licenciatura trunca,Ciencias políticas y sociales,LXI,29/08/2009,31/08/2012,gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Representacion proporcional,03/04/1979,Ciudad de Mexico,Circunscripcion:4,,,,,,,
CBG,Gabriela Cuevas Barron,Senadora Propietario,PAN,03/04/1979, Distrito Federal ,Representación Proporcional, N/A ,Pasante/Licenciatura trunca,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015,gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Representacion proporcional,03/04/1979,Ciudad de Mexico,Circunscripcion:4,,,,,,,
CBG,Gabriela Cuevas Barron,Senadora Propietario,PT,03/04/1979, Distrito Federal ,Representación Proporcional, N/A ,Pasante/Licenciatura trunca,Ciencias políticas y sociales,LXIII,29/08/2015,31/08/2018,gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Representacion proporcional,03/04/1979,Ciudad de Mexico,Circunscripcion:4,,,,,,,
CBG,Gabriela Cuevas Barron,Diputada Propietario,Morena,03/04/1979, Distrito Federal ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Pasante/Licenciatura trunca,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Representacion proporcional,03/04/1979,Ciudad de Mexico,Circunscripcion:4,,,,,,,
HDIA,Ismael Alfredo Hernandez Deras,Senador Propietario,PRI,20/02/1964, Durango ,Mayoría Relativa, Durango ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003,iahd_durango,ismaelalfredohernandezderas_durango,Representacion proporcional,20/02/1964,Durango,Circunscripcion:1,,179,PRI,Durango,1ª Circunscripción,Representación proporcional,SI
HDIA,Ismael Alfredo Hernandez Deras,Senador Propietario,PRI,20/02/1964, Durango ,Mayoría Relativa, Durango ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015,iahd_durango,ismaelalfredohernandezderas_durango,Representacion proporcional,20/02/1964,Durango,Circunscripcion:1,,179,PRI,Durango,1ª Circunscripción,Representación proporcional,SI
HDIA,Ismael Alfredo Hernandez Deras,Senador Propietario,PRI,20/02/1964, Durango ,Mayoría Relativa, Durango ,Licenciatura,Administración y contaduría,LXIII,29/08/2015,31/08/2018,iahd_durango,ismaelalfredohernandezderas_durango,Representacion proporcional,20/02/1964,Durango,Circunscripcion:1,,179,PRI,Durango,1ª Circunscripción,Representación proporcional,SI
HDIA,Ismael Alfredo Hernandez Deras,Diputado Propietario,PRI,20/02/1964, Durango ,Representación Proporcional, Durango Circunscripción: Primera ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021,iahd_durango,ismaelalfredohernandezderas_durango,Representacion proporcional,20/02/1964,Durango,Circunscripcion:1,,179,PRI,Durango,1ª Circunscripción,Representación proporcional,SI
CPJJ,Javier Julian Castañeda Pomposo,Diputado Propietario,PAN,07/10/1967, Baja California ,Mayoría Relativa, Baja California Distrito: 4 (Tijuana) ,Pasante/Licenciatura trunca,Humanidades,LVIII,28/08/2000,31/08/2003,jjcp_baja california,javierjuliancastanedapomposo_baja california,Mayoria Relativa,07/10/1967,Baja California,Distrito:6,,187,MORENA,Baja California,Distrito 6,Mayoría relativa,SI
GMJE,Jorge Emilio Gonzalez Martinez,Senador Propietario,PVEM,16/04/1972, Distrito Federal ,Representación Proporcional, Distrito Federal ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003,jegm_quintana roo,jorgeemiliogonzalezmartinez_quintana roo,Representacion proporcional,16/04/1972,Quintana Roo,Circunscripcion:3,,196,PVEM,Ciudad de México,3ª Circunscripción,Representación proporcional,SI
GMJE,Jorge Emilio Gonzalez Martinez,Senador Propietario,PVEM,16/04/1972, Distrito Federal ,Representación Proporcional, Distrito Federal ,,,LIX,29/08/2003,31/08/2006,jegm_quintana roo,jorgeemiliogonzalezmartinez_quintana roo,Representacion proporcional,16/04/1972,Quintana Roo,Circunscripcion:3,,196,PVEM,Ciudad de México,3ª Circunscripción,Representación proporcional,SI
SPML,Maria Lucero Saldaña Perez,Senadora Suplente,PRI,18/01/1957, Puebla ,Mayoría Relativa, Puebla ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003,mlsp_puebla,marialucerosaldanaperez_puebla,Representacion proporcional,18/01/1957,Puebla,Circunscripcion:4,,319,PRI,Puebla,4ª Circunscripción,Representación proporcional,SI
SPML,Maria Lucero Saldaña Perez,Senadora Suplente,PRI,18/01/1957, Puebla ,Mayoría Relativa, Puebla ,Licenciatura,Administración y contaduría,LIX,29/08/2003,31/08/2006,mlsp_puebla,marialucerosaldanaperez_puebla,Representacion proporcional,18/01/1957,Puebla,Circunscripcion:4,,319,PRI,Puebla,4ª Circunscripción,Representación proporcional,SI
SPML,Maria Lucero Saldaña Perez,Senadora Propietario,PRI,18/01/1957, Puebla ,Mayoría Relativa, Puebla ,Maestría,Derecho,LXII,29/08/2012,31/08/2015,mlsp_puebla,marialucerosaldanaperez_puebla,Representacion proporcional,18/01/1957,Puebla,Circunscripcion:4,,319,PRI,Puebla,4ª Circunscripción,Representación proporcional,SI
SPML,Maria Lucero Saldaña Perez,Senadora Propietario,PRI,18/01/1957, Puebla ,Mayoría Relativa, Puebla ,Maestría,Derecho,LXIII,29/08/2015,31/08/2018,mlsp_puebla,marialucerosaldanaperez_puebla,Representacion proporcional,18/01/1957,Puebla,Circunscripcion:4,,319,PRI,Puebla,4ª Circunscripción,Representación proporcional,SI
SPML,Maria Lucero Saldaña Perez,Diputada Propietario,PRI,18/01/1957, Puebla ,Representación Proporcional, Puebla Circunscripción: Cuarta ,Doctorado,Otra,LXIV,29/08/2018,31/08/2021,mlsp_puebla,marialucerosaldanaperez_puebla,Representacion proporcional,18/01/1957,Puebla,Circunscripcion:4,,319,PRI,Puebla,4ª Circunscripción,Representación proporcional,SI
GGR,Raul Gracia Guzman,Diputado Propietario,PAN,20/02/1975, Nuevo León ,Mayoría Relativa, Nuevo León Distrito: 7 (Monterrey) ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003,rgg_nuevo leon,raulgraciaguzman_nuevo leon,Representacion proporcional,20/02/1975,Nuevo Leon,Circunscripcion:2,,,,,,,
GGR,Raul Gracia Guzman,Senador Propietario,PAN,20/02/1975, Nuevo León ,Primera Minoría, Nuevo León ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,rgg_nuevo leon,raulgraciaguzman_nuevo leon,Representacion proporcional,20/02/1975,Nuevo Leon,Circunscripcion:2,,,,,,,
GGR,Raul Gracia Guzman,Senador Propietario,PAN,20/02/1975, Nuevo León ,Primera Minoría, Nuevo León ,Licenciatura,Derecho,LXIII,29/08/2015,31/08/2018,rgg_nuevo leon,raulgraciaguzman_nuevo leon,Representacion proporcional,20/02/1975,Nuevo Leon,Circunscripcion:2,,,,,,,
GGR,Raul Gracia Guzman,Diputado Propietario,PAN,20/02/1975, Nuevo León ,Representación Proporcional, Nuevo León Circunscripción: Segunda ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,rgg_nuevo leon,raulgraciaguzman_nuevo leon,Representacion proporcional,20/02/1975,Nuevo Leon,Circunscripcion:2,,,,,,,
GQAL,Ana Lilia Guillen Quiroz,Diputada Propietario,PRD,05/02/1955, Michoacán ,Mayoría Relativa, Michoacán Distrito: 8 (Morelia) ,,,LIX,29/08/2003,31/08/2006,algq_michoacan,analiliaguillenquiroz_michoacan,Mayoria Relativa,05/02/1955,Michoacan,Distrito:8,,28,MORENA,Michoacán,Distrito 8,Mayoría relativa,SI
GQAL,Ana Lilia Guillen Quiroz,Diputada Propietario,Morena,05/02/1955, Michoacán ,Mayoría Relativa, Michoacán Distrito: 8 (Morelia) ,,,LXIV,29/08/2018,31/08/2021,algq_michoacan,analiliaguillenquiroz_michoacan,Mayoria Relativa,05/02/1955,Michoacan,Distrito:8,,28,MORENA,Michoacán,Distrito 8,Mayoría relativa,SI
DOH,Horacio Duarte Olivares,Diputado Propietario,PRD,01/01/1900, México ,Representación Proporcional, N/A ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006,hdo_mexico,horacioduarteolivares_mexico,Representacion proporcional,05/11/1971,Mexico,Circunscripcion:5,,,,,,,
SNJ,Javier Salinas Narvaez,Diputado Propietario,PRD,22/11/1965, ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006,jsn_mexico,javiersalinasnarvaez_mexico,Representacion proporcional,22/11/1965,Mexico,Circunscripcion:5,,,,,,,
SNJ,Javier Salinas Narvaez,Diputado Propietario,Morena,22/11/1965, ,Representación Proporcional, México Circunscripción: Quinta ,Doctorado,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,jsn_mexico,javiersalinasnarvaez_mexico,Representacion proporcional,22/11/1965,Mexico,Circunscripcion:5,,,,,,,
PRJL,Jorge Luis Preciado Rodriguez,Diputado Propietario,PAN,09/08/1972, Colima ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006,jlpr_colima,jorgeluispreciadorodriguez_colima,Representacion proporcional,09/08/1972,Colima,Circunscripcion:5,,200,PAN,Colima,5ª Circunscripción,Representación proporcional,SI
PRJL,Jorge Luis Preciado Rodriguez,Senador Propietario,PAN,09/08/1972, Colima ,Primera Minoría, Colima ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,jlpr_colima,jorgeluispreciadorodriguez_colima,Representacion proporcional,09/08/1972,Colima,Circunscripcion:5,,200,PAN,Colima,5ª Circunscripción,Representación proporcional,SI
PRJL,Jorge Luis Preciado Rodriguez,Senador Propietario,PAN,09/08/1972, Colima ,Primera Minoría, Colima ,Licenciatura,Derecho,LXIII,29/08/2015,31/08/2018,jlpr_colima,jorgeluispreciadorodriguez_colima,Representacion proporcional,09/08/1972,Colima,Circunscripcion:5,,200,PAN,Colima,5ª Circunscripción,Representación proporcional,SI
PRJL,Jorge Luis Preciado Rodriguez,Diputado Propietario,PAN,09/08/1972, Colima ,Representación Proporcional, Colima Circunscripción: Quinta ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,jlpr_colima,jorgeluispreciadorodriguez_colima,Representacion proporcional,09/08/1972,Colima,Circunscripcion:5,,200,PAN,Colima,5ª Circunscripción,Representación proporcional,SI
ASJG,Jose Guillermo Arechiga Santamaria,Diputado Propietario,Ind.,02/09/1958, Puebla ,Mayoría Relativa, Puebla Distrito: 2 (Zacatlán) ,Maestría,Ciencias de la educación,LIX,29/08/2003,31/08/2006,jgas_puebla,joseguillermoarechigasantamaria_puebla,Mayoria Relativa,02/09/1958,Puebla,Distrito:9,,,,,,,
ASJG,Jose Guillermo Arechiga Santamaria,Diputado Propietario,Morena,02/09/1958, Puebla ,Mayoría Relativa, Puebla Distrito: 9 (Heroica Puebla de Zaragoza) ,Maestría,Ciencias de la educación,LXIV,29/08/2018,31/08/2021,jgas_puebla,joseguillermoarechigasantamaria_puebla,Mayoria Relativa,02/09/1958,Puebla,Distrito:9,,,,,,,
TRJI,Jose Isabel Trejo Reyes,Diputado Propietario,PAN,09/04/1959, Zacatecas ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006,jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Representacion proporcional,09/04/1959,Zacatecas,Circunscripcion:2,,209,PAN,Zacatecas,2ª Circunscripción,Representación proporcional,SI
TRJI,Jose Isabel Trejo Reyes,Senador Propietario,PAN,09/04/1959, Zacatecas ,Primera Minoría, Zacatecas ,Licenciatura,Administración y contaduría,LX,28/08/2006,01/09/2009,jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Representacion proporcional,09/04/1959,Zacatecas,Circunscripcion:2,,209,PAN,Zacatecas,2ª Circunscripción,Representación proporcional,SI
TRJI,Jose Isabel Trejo Reyes,Senador Propietario,PAN,09/04/1959, Zacatecas ,Primera Minoría, Zacatecas ,Licenciatura,Administración y contaduría,LXI,29/08/2009,31/08/2012,jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Representacion proporcional,09/04/1959,Zacatecas,Circunscripcion:2,,209,PAN,Zacatecas,2ª Circunscripción,Representación proporcional,SI
TRJI,Jose Isabel Trejo Reyes,Diputado Propietario,PAN,09/04/1959, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015,jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Representacion proporcional,09/04/1959,Zacatecas,Circunscripcion:2,,209,PAN,Zacatecas,2ª Circunscripción,Representación proporcional,SI
TRJI,Jose Isabel Trejo Reyes,Diputado Propietario,PAN,09/04/1959, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021,jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Representacion proporcional,09/04/1959,Zacatecas,Circunscripcion:2,,209,PAN,Zacatecas,2ª Circunscripción,Representación proporcional,SI
RMMS,Ma. Sara Rocha Medina,Diputada Propietario,PRI,09/10/1967, San Luis Potosí ,Representación Proporcional, San Luis Potosí Circunscripción: Segunda ,,,LIX,29/08/2003,31/08/2006,msrm_san luis potosi,ma.sararochamedina_san luis potosi,Mayoria Relativa,09/10/1967,San Luis Potosi,Distrito:1,,344,PRI,San Luis Potosí,Distrito 1,Mayoría relativa,SI
RMMS,Ma. Sara Rocha Medina,Diputada Propietario,PRI,09/10/1967, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 1 (Matehuala) ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021,msrm_san luis potosi,ma.sararochamedina_san luis potosi,Mayoria Relativa,09/10/1967,San Luis Potosi,Distrito:1,,344,PRI,San Luis Potosí,Distrito 1,Mayoría relativa,SI
CCT,Tatiana Clouthier Carrillo,Diputada Propietario,Ind.,12/08/1964, Sinaloa ,Representación Proporcional, N/A ,Maestría,Administración y contaduría,LIX,29/08/2003,31/08/2006,tcc_sinaloa,tatianaclouthiercarrillo_sinaloa,Representacion proporcional,12/08/1964,Sinaloa,Circunscripcion:1,,,,,,,
DFA,Adriana Davila Fernandez,Diputada Propietario,PAN,30/12/1970, Tlaxcala ,Representación Proporcional, Tlaxcala Circunscripción: Cuarta ,Licenciatura,Comunicación,LX,28/08/2006,01/09/2009,adf_tlaxcala,adrianadavilafernandez_tlaxcala,Representacion proporcional,30/12/1970,Tlaxcala,Circunscripcion:4,,6,PAN,Tlaxcala,4a Circunscripción,Representación proporcional,SI
